Codigo,Categoria,Estado,Municipio,Ubicación,Area Hidrografica,Zona Hidrografica,Subzona hidrografica,Nombre,Dirección (por favor incluya el nombre del barrio),Teléfono(s) ,E-mail ,Página web ,Redes sociales del proveedor,Detalles
21206920,Cerámica y porcelana,Activa,"Bogota, D.C","(4.35, -74.15)",Magdalena Cauca,Alto Magdalena,Río Bogotá,Don Abelino Pulido,Cra 107 B #155-17 (ACCESO 108),310 2186919,,,,"Taller completo de cerámica y porcelana, desde enseñanza hasta los insumos necesarios"
21206940,Cerámica y esmaltado,Suspendida,"Bogota, D.C","(4.57686111, -74.17677778)",Magdalena Cauca,Alto Magdalena,Río Bogotá,Eli's pottery ,Tv. 26 #53c 37. Chapinero sur occidental,+57 312 4341624,,,Instagram: @elispottery,"Vaciado de barbotina, sinterizado y esmaltado de piezas cerámicas."
21206960,Insumos cerámica,Activa,"Bogota, D.C","(4.6, -74.06666667)",Magdalena Cauca,Alto Magdalena,Río Bogotá,José Darío ,Cachipai,+57 315 3491070,,,,En insumos materia prima para producir piezas de cerámicas
21205012,Fabricación cerámica,Activa,"Bogota, D.C","(4.63808333, -74.08908333)",Magdalena Cauca,Alto Magdalena,Río Bogotá,Eliana León,"Tv. 26 #53c-37, galerías ",3124341624,elispottery@gmail.com,,Instagram: elispottery,Fabricación de piezas en cerámica 
2120500127,Cerámica y esmaltado,Activa,"Bogota, D.C","(4.62166667, -74.10333333)",Magdalena Cauca,Alto Magdalena,Río Bogotá,Abelino Pulido,Suba,3102186919,,,,"Juego de 6 piezas de cerámica. Curso de Cerámica. Asesoría, uso de hornos y esmalte."
21206570,Fabricación cerámica,Suspendida,"Bogota, D.C","(4.70558333, -74.15066667)",Magdalena Cauca,Alto Magdalena,Río Bogotá,Abelino Pulido,Suba- Avenida Cali,3102186919,,,,"Todo el proceso de enseñanza para hacer unas piezas cerámicas
Desde la elaboración del modelo, molde, barbotina, horneado y acabados"
21206600,Piezas metálicas,Activa,"Bogota, D.C","(4.78222222, -74.09433333)",Magdalena Cauca,Alto Magdalena,Río Bogotá,Ingenieria estructural de Colombia,Cl. 7 #28 - 13 Ricaurte,3105780467,,,https://www.facebook.com/Ingestcol/,"Asesoramiento en el proceso y forma de una pieza metalica, se genero una prueba de como se haria un proceso manual por la forma que se selecciono y asesoranro para el cambio de forma y el proceso a desarrollar aunque no se hiciera con ellos"
21205710,Corte metal,Activa,"Bogota, D.C","(4.66933333, -74.10266667)",Magdalena Cauca,Alto Magdalena,Río Bogotá,Metal cut CNC,Cra. 29 # 8 - 41,4813360,,,,Corte de laminas de acero inoxidable calibre 14 por cizalla
21206560,Publicidad e impresión,Activa,"Bogota, D.C","(4.66111111, -74.13477778)",Magdalena Cauca,Alto Magdalena,Río Bogotá,Target Digital ,"Cl. 9 #27-70, Ricaurte",316 4946408,targetcreativo@gmail.com,,,Impresion en baner 2 pendones de 50cm x 100cm
21206230,Herramientas eléctricas y tornillería,Suspendida,"Bogota, D.C","(4.66166667, -74.15141944)",Magdalena Cauca,Alto Magdalena,Río Bogotá,MECANELECTRO ,Av.Caracas (Cra 20b) No. 76 – 54 Bogotá / Calle 13 No. 22 – 96 Bogotá / (Cra 45) No. 127b - 85 Bogotá,321 473 6780-313 466 8386 - 310 217 3776,almacen.paloquemao@mecanelectro.com.co,,,Herramientas eléctricas
